min_len_km,rank,ss_estimate,ss_lb,ss_ub,cms_estimate,exact_support,length_km,n_cells,subroute
5,94,19814,16212,19814,21033.0,,7.617,22,8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
5,95,19778,16176,19778,21028.0,,7.617,22,8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
5,96,19776,16174,19776,20939.0,,5.833,17,8939220e257ffff>8939220e2cfffff>8939220e21bffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff
5,97,19773,16171,19773,21019.0,,7.985,23,8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
5,98,19770,16168,19770,20984.0,,7.628,22,8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
5,99,19754,16152,19754,20968.0,,7.993,23,8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
5,100,19738,16136,19738,21035.0,,8.359,24,8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
10,1,19490,17957,19490,20863.0,,10.176,29,8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
10,2,14607,13074,14607,17084.0,,10.165,29,8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
10,3,14596,13063,14596,15848.0,,10.533,30,8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
10,4,9120,7587,9120,10304.0,,10.168,29,8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
10,5,9112,7579,9112,10109.0,,10.533,30,8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
10,6,9104,7571,9104,10136.0,,10.901,31,8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
10,7,9092,7559,9092,10234.0,,10.151,29,8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff
10,8,9092,7559,9092,10384.0,,10.154,29,8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
10,9,9092,7559,9092,10634.0,,10.519,30,8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
10,10,9091,7558,9091,10246.0,,10.887,31,8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
10,11,9091,7558,9091,10649.0,,10.519,30,8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff
10,12,9091,7558,9091,10194.0,,10.154,29,8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff
10,13,9089,7556,9089,10330.0,,10.151,29,8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff
10,14,9088,7555,9088,10413.0,,10.884,31,8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff
10,15,9088,7555,9088,10346.0,,11.252,32,8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
10,16,9088,7555,9088,10335.0,,10.519,30,8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff
10,17,9037,7504,9037,10057.0,,10.168,29,8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
10,18,9031,7498,9031,10108.0,,10.533,30,8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
10,19,9030,7497,9030,10632.0,,10.168,29,8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
10,20,9024,7491,9024,10159.0,,10.898,31,8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
10,21,9016,7483,9016,10319.0,,11.266,32,8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
10,22,9014,7481,9014,10071.0,,10.536,30,8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
10,23,9008,7475,9008,10244.0,,10.901,31,8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
10,24,9001,7468,9001,9944.0,,11.266,32,8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
10,25,8993,7460,8993,10217.0,,11.634,33,8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
10,26,8987,7454,8987,10054.0,,10.165,29,8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
10,27,8986,7453,8986,10415.0,,10.162,29,8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
10,28,8985,7452,8985,10317.0,,10.53,30,8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
10,29,8974,7441,8974,10366.0,,10.154,29,8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
10,30,8974,7441,8974,9926.0,,10.519,30,8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
10,31,8973,7440,8973,9989.0,,10.887,31,8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
10,32,8971,7438,8971,10161.0,,10.157,29,8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
10,33,8970,7437,8970,10133.0,,10.165,29,8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
10,34,8970,7437,8970,10077.0,,10.522,30,8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
10,35,8970,7437,8970,10324.0,,10.887,31,8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
10,36,8970,7437,8970,10109.0,,10.879,31,8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
10,37,8970,7437,8970,10053.0,,11.244,32,8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
10,38,8970,7437,8970,10891.0,,10.522,30,8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
10,39,8969,7436,8969,10566.0,,11.255,32,8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
10,40,8969,7436,8969,10194.0,,11.612,33,8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
10,41,8968,7435,8968,10030.0,,10.887,31,8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
10,42,8968,7435,8968,10207.0,,10.522,30,8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
